GISJOIN,Year,State,STATEA,COUNTYA,AREANAME,BlackPop,State_code
G090,1790,Connecticut,90,,Connecticut,5419,CT
G100,1790,Delaware,100,,Delaware,12786,DE
G130,1790,Georgia,130,,Georgia,29662,GA
G240,1790,Maryland,240,,Maryland,111079,MD
G250,1790,Massachusetts,250,,Massachusetts,5905,MA
G330,1790,New Hampshire,330,,New Hampshire,787,NH
G340,1790,New Jersey,340,,New Jersey,14185,NJ
G360,1790,New York,360,,New York,25875,NY
G370,1790,North Carolina,370,,North Carolina,105824,NC
G420,1790,Pennsylvania,420,,Pennsylvania,10238,PA
G440,1790,Rhode Island,440,,Rhode Island,4442,RI
G450,1790,South Carolina,450,,South Carolina,108895,SC
G465,1790,Southwest Territory,465,,Southwest Territory,3778,#N/A
G500,1790,Vermont,500,,Vermont,269,VT
G510,1790,Virginia,510,,Virginia,318037,VA
G090,1800,Connecticut,90,,Connecticut,6281,CT
G100,1800,Delaware,100,,Delaware,14421,DE
G110,1800,District Of Columbia,110,,District of Columbia,4027,#N/A
G130,1800,Georgia,130,,Georgia,60423,GA
G185,1800,Indiana Territory,185,,Indiana Territory,298,#N/A
G210,1800,Kentucky,210,,Kentucky,41084,KY
G240,1800,Maryland,240,,Maryland,125222,MD
G250,1800,Massachusetts,250,,Massachusetts,7270,MA
G285,1800,Mississippi Territory,285,,Mississippi Territory,3671,#N/A
G330,1800,New Hampshire,330,,New Hampshire,860,NH
G340,1800,New Jersey,340,,New Jersey,16824,NJ
G360,1800,New York,360,,New York,30717,NY
G370,1800,North Carolina,370,,North Carolina,140339,NC
G385,1800,Northwest Territory,385,,Northwest Territory,337,#N/A
G420,1800,Pennsylvania,420,,Pennsylvania,16271,PA
G440,1800,Rhode Island,440,,Rhode Island,3685,RI
G450,1800,South Carolina,450,,South Carolina,149336,SC
G470,1800,Tennessee,470,,Tennessee,13893,TN
G500,1800,Vermont,500,,Vermont,557,VT
G510,1800,Virginia,510,,Virginia,365920,VA
G090,1810,Connecticut,90,,Connecticut,6763,CT
G100,1810,Delaware,100,,Delaware,17313,DE
G110,1810,District Of Columbia,110,,District of Columbia,7944,#N/A
G130,1810,Georgia,130,,Georgia,107019,GA
G175,1810,Illinois Territory,175,,Illinois Territory,781,#N/A
G185,1810,Indiana Territory,185,,Indiana Territory,630,#N/A
G210,1810,Kentucky,210,,Kentucky,82274,KY
G225,1810,Louisiana Territory,225,,Louisiana Territory,3618,#N/A
G240,1810,Maryland,240,,Maryland,145429,MD
G250,1810,Massachusetts,250,,Massachusetts,7706,MA
G265,1810,Michigan Territory,265,,Michigan Territory,144,#N/A
G285,1810,Mississippi Territory,285,,Mississippi Territory,17328,#N/A
G330,1810,New Hampshire,330,,New Hampshire,970,NH
G340,1810,New Jersey,340,,New Jersey,18694,NJ
G360,1810,New York,360,,New York,40350,NY
G370,1810,North Carolina,370,,North Carolina,179090,NC
G390,1810,Ohio,390,,Ohio,1899,OH
G417,1810,Orleans Territory,417,,Orleans Territory,42245,#N/A
G420,1810,Pennsylvania,420,,Pennsylvania,23287,PA
G440,1810,Rhode Island,440,,Rhode Island,3717,RI
G450,1810,South Carolina,450,,South Carolina,200919,SC
G470,1810,Tennessee,470,,Tennessee,45852,TN
G500,1810,Vermont,500,,Vermont,750,VT
G510,1810,Virginia,510,,Virginia,423088,VA
G010,1820,Alabama,10,,Alabama,42450,AL
G055,1820,Arkansas Territory,55,,Arkansas Territory,1676,#N/A
